time	V(vp)
Step Information: Init=1  (Run: 1/3)
6.797112963701034e-03	4.222440e-03
6.933831713701031e-03	3.677743e-03
7.070550463701028e-03	3.203313e-03
7.207269213701025e-03	2.790085e-03
7.343987963701022e-03	2.430163e-03
7.480706713701019e-03	2.116671e-03
7.617425463701017e-03	1.843620e-03
7.754144213701014e-03	1.605792e-03
7.890862963701012e-03	1.398644e-03
8.027581713701009e-03	1.218219e-03
8.164300463701006e-03	1.061068e-03
8.301019213701003e-03	9.241900e-04
8.437737963701000e-03	8.049692e-04
8.574456713700997e-03	7.011279e-04
8.711175463700994e-03	6.106822e-04
8.847894213700991e-03	5.319039e-04
8.984612963700988e-03	4.632882e-04
9.121331713700985e-03	4.035238e-04
9.267816088700982e-03	3.480188e-04
9.414300463700979e-03	3.001486e-04
9.560784838700976e-03	2.588629e-04
9.707269213700973e-03	2.232561e-04
9.756097338700972e-03	2.125109e-04
9.902581713700969e-03	1.832799e-04
9.990472338700967e-03	1.677083e-04
1.000000000000000e-02	1.660980e-04
Step Information: Init=5  (Run: 3/3)
0.000000000000000e+00	5.000000e+00
9.765625114122045e-11	5.000010e+00
1.953125022824409e-10	5.000020e+00
8.000000093488779e-07	5.075971e+00
1.600000018697756e-06	5.144519e+00
3.200000037395512e-06	5.262619e+00
6.400000074791024e-06	5.446553e+00
1.084084301111878e-05	5.624947e+00
1.524121412958654e-05	5.735438e+00
1.933310091523280e-05	5.793884e+00
2.320614329407782e-05	5.823088e+00
2.659847392617329e-05	5.834893e+00
2.901582457403840e-05	5.837008e+00
3.203675066444700e-05	5.834295e+00
3.530823279116522e-05	5.826855e+00
4.044548161519102e-05	5.809096e+00
4.605403603993986e-05	5.784552e+00
5.367179554782206e-05	5.746179e+00
6.209967686858000e-05	5.700641e+00
7.186530186858000e-05	5.646201e+00
8.163092686857999e-05	5.591345e+00
1.304590518685800e-04	5.322530e+00
2.671778018685801e-04	4.635923e+00
4.038965518685802e-04	4.037888e+00
5.406153018685803e-04	3.516999e+00
6.773340518685804e-04	3.063305e+00
8.140528018685805e-04	2.668137e+00
9.507715518685807e-04	2.323947e+00
1.087490301868581e-03	2.024157e+00
1.224209051868581e-03	1.763040e+00
1.360927801868581e-03	1.535607e+00
1.497646551868581e-03	1.337513e+00
1.634365301868581e-03	1.164974e+00
1.771084051868581e-03	1.014692e+00
1.907802801868581e-03	8.837961e-01
2.044521551868580e-03	7.697861e-01
2.181240301868577e-03	6.704834e-01
2.317959051868574e-03	5.839908e-01
2.454677801868571e-03	5.086558e-01
2.591396551868568e-03	4.430390e-01
2.728115301868565e-03	3.858868e-01
2.864834051868562e-03	3.361073e-01
3.001552801868559e-03	2.927493e-01
3.138271551868556e-03	2.549846e-01
3.274990301868553e-03	2.220915e-01
3.411709051868550e-03	1.934416e-01
3.548427801868548e-03	1.684876e-01
3.685146551868545e-03	1.467526e-01
3.821865301868542e-03	1.278215e-01
3.958584051868539e-03	1.113325e-01
4.095302801868536e-03	9.697054e-02
4.232021551868533e-03	8.446131e-02
4.368740301868530e-03	7.356577e-02
4.505459051868528e-03	6.407576e-02
4.642177801868525e-03	5.580997e-02
4.778896551868522e-03	4.861046e-02
4.915615301868519e-03	4.233969e-02
5.052334051868516e-03	3.687786e-02
5.189052801868513e-03	3.212060e-02
5.325771551868510e-03	2.797703e-02
5.462490301868507e-03	2.436799e-02
5.599209051868504e-03	2.122451e-02
5.735927801868501e-03	1.848654e-02
5.872646551868498e-03	1.610177e-02
6.009365301868495e-03	1.402464e-02
6.146084051868493e-03	1.221545e-02
6.282802801868490e-03	1.063966e-02
6.419521551868487e-03	9.267136e-03
6.556240301868484e-03	8.071672e-03
6.692959051868481e-03	7.030424e-03
6.829677801868478e-03	6.123497e-03
6.966396551868475e-03	5.333564e-03
7.103115301868472e-03	4.645532e-03
7.239834051868469e-03	4.046257e-03
7.376552801868466e-03	3.524288e-03
7.513271551868463e-03	3.069654e-03
7.649990301868461e-03	2.673667e-03
7.786709051868458e-03	2.328763e-03
7.923427801868456e-03	2.028352e-03
8.060146551868453e-03	1.766694e-03
8.196865301868450e-03	1.538790e-03
8.333584051868447e-03	1.340286e-03
8.470302801868444e-03	1.167388e-03
8.607021551868441e-03	1.016795e-03
8.743740301868438e-03	8.856279e-04
8.880459051868435e-03	7.713815e-04
9.017177801868432e-03	6.718731e-04
9.153896551868429e-03	5.852013e-04
9.290615301868426e-03	5.097101e-04
9.427334051868424e-03	4.439573e-04
9.573818426868420e-03	3.828906e-04
9.720302801868417e-03	3.302238e-04
9.759365301868416e-03	3.174465e-04
9.905849676868413e-03	2.737815e-04
9.993740301868411e-03	2.505189e-04
1.000000000000000e-02	2.489358e-04
